Data name,QuickSort,HeapSort,MergeSort,Numpy_Sort
1_int_ascending,4.278414000000339,22.420495899999878,12.591224499999953,0.007121599999663886
2_float_descending,7.765468300000066,22.53358759999901,11.567493000000468,0.00763829999959853
3_int_random,13.114202599999771,21.422560499999236,13.634497200000624,0.009068499999557389
4_int_random,12.407292299998517,27.702472699998907,13.961710000001403,0.007205999998404877
5_int_random,13.190579699999944,26.271161599999687,13.88168769999902,0.008960499999375315
6_int_random,13.571207799999684,26.354585799999768,15.404807400000209,0.007420799998726579
7_float_random,11.03187380000054,16.607496499998888,6.990891400000692,0.005605599999398692
8_float_random,6.230769899999359,14.867607100000896,7.551724099999774,0.005418400000053225
9_float_random,7.201237300001594,14.299712300000465,8.027045599999838,0.007929000001240638
10_float_random,6.989962899999227,13.528468300000895,7.249569400000837,0.005331300000761985
